Point,Latitude,Longitude,Contexte,Période,Saison,NORNSV23,NORNSV24,NORNSV25,NORIFM20,NORIFM40,NORIFM60,NORIS400,NORIS700,NORIS1000
4893,43.9417,-1.2978,RCP4.5,H1,3,15,3,0,11,0,0,20,1,0
4893,43.9417,-1.2978,RCP4.5,H1,4,7,1,-999,3,0,0,16,2,-999
4894,43.945,-1.1983,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4894,43.945,-1.1983,RCP4.5,H1,3,14,3,0,11,0,0,19,1,0
4894,43.945,-1.1983,RCP4.5,H1,4,6,1,-999,3,0,0,15,1,-999
4895,43.9482,-1.0989,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4895,43.9482,-1.0989,RCP4.5,H1,3,14,2,0,10,0,0,21,1,0
4895,43.9482,-1.0989,RCP4.5,H1,4,6,1,-999,3,0,0,21,1,-999
4896,43.9513,-0.9994,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4896,43.9513,-0.9994,RCP4.5,H1,3,16,3,0,17,1,0,20,1,0
4896,43.9513,-0.9994,RCP4.5,H1,4,10,1,-999,4,0,0,21,1,-999
4897,43.9543,-0.9,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4897,43.9543,-0.9,RCP4.5,H1,3,16,3,0,16,1,0,21,1,0
4897,43.9543,-0.9,RCP4.5,H1,4,10,1,-999,4,0,0,24,2,-999
4898,43.9572,-0.8005,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4898,43.9572,-0.8005,RCP4.5,H1,3,17,3,0,17,1,0,22,1,0
4898,43.9572,-0.8005,RCP4.5,H1,4,11,1,-999,4,0,0,23,2,-999
4899,43.96,-0.701,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4899,43.96,-0.701,RCP4.5,H1,3,16,3,0,17,1,0,25,1,0
4899,43.96,-0.701,RCP4.5,H1,4,11,1,-999,4,0,0,31,3,-999
4900,43.9628,-0.6015,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4900,43.9628,-0.6015,RCP4.5,H1,3,19,4,0,20,1,0,23,1,0
4900,43.9628,-0.6015,RCP4.5,H1,4,13,2,-999,5,0,0,30,2,-999
4901,43.9654,-0.502,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4901,43.9654,-0.502,RCP4.5,H1,3,18,3,0,20,2,0,26,2,0
4901,43.9654,-0.502,RCP4.5,H1,4,13,2,-999,5,0,0,37,4,-999
4902,43.968,-0.4025,RCP4.5,H1,2,0,0,-999,4,0,0,0,0,-999
4902,43.968,-0.4025,RCP4.5,H1,3,20,4,1,23,2,0,24,1,0
4902,43.968,-0.4025,RCP4.5,H1,4,14,3,-999,6,0,0,31,2,-999
4903,43.9704,-0.303,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4903,43.9704,-0.303,RCP4.5,H1,3,20,3,0,22,2,0,22,1,0
4903,43.9704,-0.303,RCP4.5,H1,4,13,2,-999,5,0,0,28,1,-999
4904,43.9728,-0.2034,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4904,43.9728,-0.2034,RCP4.5,H1,3,20,3,0,22,2,0,26,1,0
4904,43.9728,-0.2034,RCP4.5,H1,4,13,1,-999,5,0,0,38,2,-999
4905,43.9751,-0.1039,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4905,43.9751,-0.1039,RCP4.5,H1,3,22,4,0,19,2,0,25,1,0
4905,43.9751,-0.1039,RCP4.5,H1,4,15,2,-999,5,0,0,34,1,-999
